"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"447","Melbourne City","Brisbane Roar","Hyundai A-League R9","AAMI Park",7721,"14/15","2014-12-07","9"
"448","Western Sydney Wanderers","Perth Glory","Hyundai A-League R27","Pirtek Stadium",8852,"14/15","2015-04-25","27"
"449","Adelaide United","Brisbane Roar","Hyundai A-League R10","Coopers Stadium",11241,"14/15","2014-12-12","10"
"450","Perth Glory","Newcastle Jets","Hyundai A-League R10","HBF Park",9233,"14/15","2014-12-12","10"
"451","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R10","Eden Park",11051,"14/15","2014-12-13","10"
"452","Western Sydney Wanderers","Melbourne City","Hyundai A-League R10","Pirtek Stadium",7239,"14/15","2015-03-11","10"
"453","Melbourne Victory","Sydney FC","Hyundai A-League R10","Marvel Stadium",25203,"14/15","2014-12-13","10"
"454","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R11","Suncorp Stadium",6813,"14/15","2015-03-25","11"
"455","Newcastle Jets","Adelaide United","Hyundai A-League R11","McDonald Jones Stadium",10407,"14/15","2014-12-19","11"
"456","Melbourne City","Melbourne Victory","Hyundai A-League R11","AAMI Park",26372,"14/15","2014-12-20","11"
"457","Perth Glory","Central Coast Mariners","Hyundai A-League R11","HBF Park",9660,"14/15","2014-12-20","11"
"458","Sydney FC","Wellington Phoenix","Hyundai A-League R11","Allianz Stadium",14672,"14/15","2014-12-21","11"
"459","Melbourne City","Perth Glory","Hyundai A-League R12","AAMI Park",9550,"14/15","2014-12-26","12"
"460","Sydney FC","Adelaide United","Hyundai A-League R12","Allianz Stadium",14214,"14/15","2014-12-26","12"
"461","Central Coast Mariners","Brisbane Roar","Hyundai A-League R12","Central Coast Stadium",9932,"14/15","2014-12-27","12"
"462","Melbourne Victory","Newcastle Jets","Hyundai A-League R12","AAMI Park",20801,"14/15","2014-12-27","12"
"463","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R12","Westpac Stadium",8606,"14/15","2014-12-28","12"
"464","Newcastle Jets","Melbourne City","Hyundai A-League R13","McDonald Jones Stadium",9935,"14/15","2014-12-30","13"
"465","Brisbane Roar","Sydney FC","Hyundai A-League R13","Suncorp Stadium",15765,"14/15","2014-12-30","13"
"466","Adelaide United","Wellington Phoenix","Hyundai A-League R13","Coopers Stadium",10060,"14/15","2014-12-31","13"
"467","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R13","Pirtek Stadium",14137,"14/15","2015-01-01","13"
"468","Melbourne Victory","Perth Glory","Hyundai A-League R13","GMHBA Stadium",21289,"14/15","2015-01-02","13"
"469","Sydney FC","Newcastle Jets","Hyundai A-League R14","WIN Stadium",11733,"14/15","2015-01-03","14"
"470","Wellington Phoenix","Brisbane Roar","Hyundai A-League R14","Westpac Stadium",10267,"14/15","2015-01-04","14"
"471","Central Coast Mariners","Melbourne City","Hyundai A-League R14","Central Coast Stadium",7409,"14/15","2015-01-04","14"
"472","Perth Glory","Adelaide United","Hyundai A-League R14","HBF Park",9699,"14/15","2015-01-05","14"
"473","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R14","Pirtek Stadium",14619,"14/15","2015-01-06","14"
"474","Wellington Phoenix","Sydney FC","Hyundai A-League R27","Westpac Stadium",13248,"14/15","2015-04-26","27"
"475","Adelaide United","Newcastle Jets","Hyundai A-League R15","Coopers Stadium",10960,"14/15","2015-01-24","15"
"476","Central Coast Mariners","Sydney FC","Hyundai A-League R15","Central Coast Stadium",12102,"14/15","2015-01-24","15"
"477","Perth Glory","Melbourne Victory","Hyundai A-League R15","HBF Park",12271,"14/15","2015-01-25","15"
"478","Brisbane Roar","Wellington Phoenix","Hyundai A-League R15","Suncorp Stadium",9263,"14/15","2015-02-02","15"
"479","Melbourne City","Western Sydney Wanderers","Hyundai A-League R15","AAMI Park",7561,"14/15","2015-02-01","15"
"480","Melbourne Victory","Central Coast Mariners","Hyundai A-League R27","AAMI Park",22285,"14/15","2015-04-26","27"
"481","Newcastle Jets","Brisbane Roar","Hyundai A-League R16","McDonald Jones Stadium",6944,"14/15","2015-02-06","16"
"482","Central Coast Mariners","Adelaide United","Hyundai A-League R16","Central Coast Stadium",4508,"14/15","2015-02-07","16"
"483","Melbourne Victory","Melbourne City","Hyundai A-League R16","Marvel Stadium",40042,"14/15","2015-02-07","16"
"484","Perth Glory","Sydney FC","Hyundai A-League R16","HBF Park",11637,"14/15","2015-02-07","16"
"485","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R16","Panthers Stadium",12663,"14/15","2015-02-08","16"
"486","Central Coast Mariners","Brisbane Roar","Hyundai A-League R17","Central Coast Stadium",6021,"14/15","2015-02-13","17"
"487","Wellington Phoenix","Melbourne City","Hyundai A-League R17","Hutt Recreational Ground",9232,"14/15","2015-02-14","17"
"488","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R17","McDonald Jones Stadium",11019,"14/15","2015-02-14","17"
"489","Sydney FC","Melbourne Victory","Hyundai A-League R17","Allianz Stadium",17356,"14/15","2015-02-14","17"
"490","Adelaide United","Perth Glory","Hyundai A-League R17","Coopers Stadium",9711,"14/15","2015-02-15","17"
"491","Brisbane Roar","Melbourne Victory","Hyundai A-League R18","Suncorp Stadium",10642,"14/15","2015-04-15","18"
"492","Sydney FC","Central Coast Mariners","Hyundai A-League R18","Allianz Stadium",14239,"14/15","2015-02-21","18"
"493","Adelaide United","Western Sydney Wanderers","Hyundai A-League R18","Coopers Stadium",9212,"14/15","2015-02-21","18"
"494","Wellington Phoenix","Newcastle Jets","Hyundai A-League R18","Hutt Recreational Ground",8437,"14/15","2015-02-22","18"
"495","Melbourne City","Perth Glory","Hyundai A-League R18","AAMI Park",6486,"14/15","2015-02-22","18"
"496","Melbourne City","Adelaide United","Hyundai A-League R19","AAMI Park",7345,"14/15","2015-02-27","19"
"497","Newcastle Jets","Central Coast Mariners","Hyundai A-League R19","McDonald Jones Stadium",7991,"14/15","2015-02-28","19"
"498","Western Sydney Wanderers","Sydney FC","Hyundai A-League R19","Pirtek Stadium",19484,"14/15","2015-02-28","19"
"499","Perth Glory","Brisbane Roar","Hyundai A-League R19","HBF Park",10422,"14/15","2015-02-28","19"
"500","Melbourne Victory","Wellington Phoenix","Hyundai A-League R19","AAMI Park",22096,"14/15","2015-03-01","19"
"501","Newcastle Jets","Sydney FC","Hyundai A-League R20","McDonald Jones Stadium",8783,"14/15","2015-03-06","20"
"502","Wellington Phoenix","Adelaide United","Hyundai A-League R20","Hutt Recreational Ground",7819,"14/15","2015-03-07","20"
"503","Melbourne Victory","Perth Glory","Hyundai A-League R20","AAMI Park",22525,"14/15","2015-03-07","20"
"504","Central Coast Mariners","Melbourne City","Hyundai A-League R20","Central Coast Stadium",6079,"14/15","2015-03-08","20"
"505","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R20","Suncorp Stadium",12095,"14/15","2015-03-08","20"
"506","Adelaide United","Central Coast Mariners","Hyundai A-League R21","Coopers Stadium",7767,"14/15","2015-03-12","21"
"507","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R21","Pirtek Stadium",11073,"14/15","2015-03-13","21"
"508","Sydney FC","Brisbane Roar","Hyundai A-League R21","Allianz Stadium",13818,"14/15","2015-03-15","21"
"509","Perth Glory","Wellington Phoenix","Hyundai A-League R21","HBF Park",9178,"14/15","2015-03-14","21"
"510","Melbourne City","Newcastle Jets","Hyundai A-League R21","AAMI Park",5867,"14/15","2015-03-14","21"
"511","Sydney FC","Melbourne City","Hyundai A-League R22","Allianz Stadium",11638,"14/15","2015-03-20","22"
"512","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R22","Pirtek Stadium",10109,"14/15","2015-03-21","22"
"513","Adelaide United","Melbourne Victory","Hyundai A-League R22","Coopers Stadium",16077,"14/15","2015-03-21","22"
"514","Central Coast Mariners","Perth Glory","Hyundai A-League R22","Central Coast Stadium",5338,"14/15","2015-03-22","22"
"515","Brisbane Roar","Wellington Phoenix","Hyundai A-League R22","Suncorp Stadium",10075,"14/15","2015-03-22","22"
"516","Adelaide United","Melbourne City","Hyundai A-League R27","Coopers Stadium",8773,"14/15","2015-04-25","27"
"517","Melbourne Victory","Central Coast Mariners","Hyundai A-League R23","AAMI Park",18205,"14/15","2015-03-27","23"
"518","Melbourne City","Brisbane Roar","Hyundai A-League R23","AAMI Park",9561,"14/15","2015-03-28","23"
"519","Perth Glory","Western Sydney Wanderers","Hyundai A-League R23","HBF Park",9415,"14/15","2015-03-28","23"
"520","Wellington Phoenix","Sydney FC","Hyundai A-League R23","Westpac Stadium",6236,"14/15","2015-03-29","23"
"521","Newcastle Jets","Adelaide United","Hyundai A-League R23","McDonald Jones Stadium",6888,"14/15","2015-03-29","23"
"522","Brisbane Roar","Central Coast Mariners","Hyundai A-League R24","Suncorp Stadium",6148,"14/15","2015-04-02","24"
"523","Western Sydney Wanderers","Melbourne City","Hyundai A-League R24","Pirtek Stadium",9054,"14/15","2015-04-03","24"
"524","Sydney FC","Adelaide United","Hyundai A-League R24","Allianz Stadium",11585,"14/15","2015-04-04","24"
"525","Wellington Phoenix","Melbourne Victory","Hyundai A-League R24","Westpac Stadium",8417,"14/15","2015-04-05","24"
"526","Newcastle Jets","Perth Glory","Hyundai A-League R24","McDonald Jones Stadium",4162,"14/15","2015-04-06","24"
"527","Melbourne Victory","Newcastle Jets","Hyundai A-League R25","AAMI Park",19277,"14/15","2015-04-10","25"
"528","Perth Glory","Sydney FC","Hyundai A-League R25","HBF Park",7426,"14/15","2015-04-10","25"
"529","Adelaide United","Brisbane Roar","Hyundai A-League R25","Coopers Stadium",10659,"14/15","2015-04-11","25"
"530","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R25","Central Coast Stadium",9548,"14/15","2015-04-11","25"
"531","Melbourne City","Wellington Phoenix","Hyundai A-League R25","AAMI Park",6720,"14/15","2015-04-12","25"
"532","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R26","Westpac Stadium",6868,"14/15","2015-04-17","26"
"533","Newcastle Jets","Sydney FC","Hyundai A-League R26","McDonald Jones Stadium",8125,"14/15","2015-04-17","26"
"534","Western Sydney Wanderers","Adelaide United","Hyundai A-League R26","Pirtek Stadium",9837,"14/15","2015-04-18","26"
"535","Brisbane Roar","Melbourne Victory","Hyundai A-League R26","Suncorp Stadium",11582,"14/15","2015-04-18","26"
"536","Adelaide United","Sydney FC","Hyundai A-League R1","Coopers Stadium",10018,"18/19","2018-10-19","1"
"537","Melbourne Victory","Melbourne City","Hyundai A-League R1","Marvel Stadium",40505,"18/19","2018-10-20","1"
"538","Wellington Phoenix","Newcastle Jets","Hyundai A-League R1","Westpac Stadium",9174,"18/19","2018-10-21","1"
"539","Brisbane Roar","Central Coast Mariners","Hyundai A-League R1","Suncorp Stadium",14859,"18/19","2018-10-21","1"
"540","Perth Glory","Western Sydney Wanderers","Hyundai A-League R1","HBF Park",10206,"18/19","2018-10-21","1"
"541","Central Coast Mariners","Melbourne City","Hyundai A-League R2","Central Coast Stadium",7144,"18/19","2018-10-27","2"
"542","Brisbane Roar","Wellington Phoenix","Hyundai A-League R2","Suncorp Stadium",15129,"18/19","2018-10-28","2"
"543","Sydney FC","Western Sydney Wanderers","Hyundai A-League R2","Sydney Cricket Ground",30588,"18/19","2018-10-27","2"
"544","Melbourne Victory","Perth Glory","Hyundai A-League R2","AAMI Park",17219,"18/19","2018-10-28","2"
"545","Adelaide United","Newcastle Jets","Hyundai A-League R2","Coopers Stadium",7906,"18/19","2018-10-26","2"
"546","Melbourne City","Sydney FC","Hyundai A-League R3","AAMI Park",12086,"18/19","2018-11-02","3"
"547","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R3","Westpac Stadium",5339,"18/19","2018-11-03","3"
"548","Newcastle Jets","Melbourne Victory","Hyundai A-League R3","McDonald Jones Stadium",11813,"18/19","2018-11-03","3"
"549","Perth Glory","Brisbane Roar","Hyundai A-League R3","HBF Park",9446,"18/19","2018-11-03","3"
"550","Central Coast Mariners","Adelaide United","Hyundai A-League R3","Central Coast Stadium",6043,"18/19","2018-11-04","3"
"551","Melbourne City","Wellington Phoenix","Hyundai A-League R4","AAMI Park",6410,"18/19","2018-11-09","4"
"552","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R4","Glen Willow Sporting Field",5067,"18/19","2018-11-10","4"
"553","Newcastle Jets","Sydney FC","Hyundai A-League R4","McDonald Jones Stadium",11415,"18/19","2018-11-10","4"
"554","Adelaide United","Perth Glory","Hyundai A-League R4","Coopers Stadium",9705,"18/19","2018-11-11","4"
"555","Melbourne Victory","Central Coast Mariners","Hyundai A-League R4","AAMI Park",16508,"18/19","2018-11-11","4"
"556","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R5","Spotless Stadium",10458,"18/19","2018-11-23","5"
"557","Wellington Phoenix","Adelaide United","Hyundai A-League R5","Westpac Stadium",4831,"18/19","2018-11-24","5"
"558","Brisbane Roar","Melbourne City","Hyundai A-League R5","Suncorp Stadium",9925,"18/19","2018-11-24","5"
"559","Sydney FC","Melbourne Victory","Hyundai A-League R5","Netstrata Jubilee Stadium",19081,"18/19","2018-11-25","5"
"560","Perth Glory","Central Coast Mariners","Hyundai A-League R5","HBF Park",10417,"18/19","2018-11-25","5"
"561","Adelaide United","Brisbane Roar","Hyundai A-League R6","Coopers Stadium",8005,"18/19","2018-11-30","6"
"562","Central Coast Mariners","Sydney FC","Hyundai A-League R6","Central Coast Stadium",8386,"18/19","2018-12-01","6"
"563","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R6","Marvel Stadium",19556,"18/19","2018-12-01","6"
"564","Wellington Phoenix","Perth Glory","Hyundai A-League R6","Westpac Stadium",4829,"18/19","2018-12-02","6"
"565","Melbourne City","Newcastle Jets","Hyundai A-League R6","AAMI Park",6013,"18/19","2018-12-02","6"
"566","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R7","Spotless Stadium",8163,"18/19","2018-12-07","7"
"567","Sydney FC","Wellington Phoenix","Hyundai A-League R7","Netstrata Jubilee Stadium",10101,"18/19","2018-12-08","7"
"568","Melbourne Victory","Adelaide United","Hyundai A-League R7","Marvel Stadium",20629,"18/19","2018-12-08","7"
"569","Perth Glory","Melbourne City","Hyundai A-League R7","HBF Park",8489,"18/19","2018-12-08","7"
"570","Newcastle Jets","Brisbane Roar","Hyundai A-League R7","McDonald Jones Stadium",9719,"18/19","2018-12-09","7"
"571","Brisbane Roar","Melbourne Victory","Hyundai A-League R8","Suncorp Stadium",10289,"18/19","2018-12-14","8"
"572","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R8","Westpac Stadium",6970,"18/19","2018-12-15","8"
"573","Western Sydney Wanderers","Sydney FC","Hyundai A-League R8","ANZ Stadium",18043,"18/19","2018-12-15","8"
"574","Newcastle Jets","Perth Glory","Hyundai A-League R8","McDonald Jones Stadium",6701,"18/19","2018-12-16","8"
"575","Adelaide United","Melbourne City","Hyundai A-League R8","Coopers Stadium",8504,"18/19","2018-12-16","8"
"576","Perth Glory","Sydney FC","Hyundai A-League R9","HBF Park",10356,"18/19","2018-12-21","9"
"577","Central Coast Mariners","Newcastle Jets","Hyundai A-League R9","Central Coast Stadium",8923,"18/19","2018-12-23","9"
"578","Melbourne City","Melbourne Victory","Hyundai A-League R9","AAMI Park",24306,"18/19","2018-12-22","9"
"579","Wellington Phoenix","Brisbane Roar","Hyundai A-League R9","Westpac Stadium",6841,"18/19","2018-12-22","9"
"580","Adelaide United","Western Sydney Wanderers","Hyundai A-League R9","Coopers Stadium",8003,"18/19","2018-12-26","9"
"581","Melbourne Victory","Wellington Phoenix","Hyundai A-League R10","AAMI Park",20066,"18/19","2018-12-28","10"
"582","Sydney FC","Brisbane Roar","Hyundai A-League R10","Netstrata Jubilee Stadium",12216,"18/19","2018-12-29","10"
"583","Newcastle Jets","Adelaide United","Hyundai A-League R10","McDonald Jones Stadium",9005,"18/19","2018-12-30","10"
"584","Central Coast Mariners","Perth Glory","Hyundai A-League R10","Central Coast Stadium",6048,"18/19","2018-12-31","10"
"585","Western Sydney Wanderers","Melbourne City","Hyundai A-League R10","ANZ Stadium",8365,"18/19","2019-01-01","10"
"586","Sydney FC","Central Coast Mariners","Hyundai A-League R11","Netstrata Jubilee Stadium",12053,"18/19","2019-01-04","11"
"587","Adelaide United","Wellington Phoenix","Hyundai A-League R11","Coopers Stadium",8954,"18/19","2019-01-05","11"
"588","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R11","ANZ Stadium",7062,"18/19","2019-01-05","11"
"589","Melbourne City","Newcastle Jets","Hyundai A-League R11","AAMI Park",7368,"18/19","2019-01-06","11"
"590","Brisbane Roar","Perth Glory","Hyundai A-League R11","Suncorp Stadium",9249,"18/19","2019-01-06","11"
"591","Adelaide United","Melbourne Victory","Hyundai A-League R12","Coopers Stadium",12115,"18/19","2019-01-09","12"
"592","Newcastle Jets","Brisbane Roar","Hyundai A-League R12","McDonald Jones Stadium",8519,"18/19","2019-01-02","12"
"593","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R12","ANZ Stadium",7288,"18/19","2019-01-08","12"
"594","Central Coast Mariners","Melbourne City","Hyundai A-League R12","Central Coast Stadium",4103,"18/19","2019-01-16","12"
"595","Perth Glory","Sydney FC","Hyundai A-League R12","HBF Park",9521,"18/19","2019-01-09","12"
"596","Melbourne City","Brisbane Roar","Hyundai A-League R13","AAMI Park",6348,"18/19","2019-01-11","13"
"597","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R13","Westpac Stadium",10196,"18/19","2019-01-12","13"
"598","Melbourne Victory","Newcastle Jets","Hyundai A-League R13","AAMI Park",16694,"18/19","2019-01-12","13"
"599","Sydney FC","Adelaide United","Hyundai A-League R13","Netstrata Jubilee Stadium",11560,"18/19","2019-01-13","13"
"600","Perth Glory","Western Sydney Wanderers","Hyundai A-League R13","HBF Park",8945,"18/19","2019-01-13","13"
"601","Western Sydney Wanderers","Adelaide United","Hyundai A-League R14","ANZ Stadium",7104,"18/19","2019-01-18","14"
"602","Melbourne City","Perth Glory","Hyundai A-League R14","AAMI Park",6055,"18/19","2019-01-19","14"
"603","Sydney FC","Newcastle Jets","Hyundai A-League R14","Netstrata Jubilee Stadium",12681,"18/19","2019-01-19","14"
"604","Melbourne Victory","Wellington Phoenix","Hyundai A-League R14","AAMI Park",18136,"18/19","2019-01-20","14"
"605","Central Coast Mariners","Brisbane Roar","Hyundai A-League R14","Central Coast Stadium",4873,"18/19","2019-01-20","14"
"606","Melbourne City","Western Sydney Wanderers","Hyundai A-League R15","AAMI Park",5149,"18/19","2019-01-22","15"
"607","Newcastle Jets","Central Coast Mariners","Hyundai A-League R15","McDonald Jones Stadium",9466,"18/19","2019-01-23","15"
"608","Wellington Phoenix","Sydney FC","Hyundai A-League R15","Westpac Stadium",8961,"18/19","2019-01-23","15"
"609","Brisbane Roar","Melbourne Victory","Hyundai A-League R15","Suncorp Stadium",7131,"18/19","2019-01-15","15"
"610","Perth Glory","Adelaide United","Hyundai A-League R15","HBF Park",7213,"18/19","2019-01-23","15"
"611","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R16","Suncorp Stadium",8053,"18/19","2019-01-25","16"
"612","Wellington Phoenix","Melbourne City","Hyundai A-League R16","Westpac Stadium",8554,"18/19","2019-01-26","16"
"613","Melbourne Victory","Sydney FC","Hyundai A-League R16","AAMI Park",21085,"18/19","2019-01-26","16"
"614","Perth Glory","Newcastle Jets","Hyundai A-League R16","HBF Park",11393,"18/19","2019-01-27","16"
"615","Adelaide United","Central Coast Mariners","Hyundai A-League R16","Coopers Stadium",7965,"18/19","2019-01-27","16"
"616","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R17","ANZ Stadium",7594,"18/19","2019-02-01","17"
"617","Adelaide United","Brisbane Roar","Hyundai A-League R17","Coopers Stadium",7071,"18/19","2019-02-02","17"
"618","Perth Glory","Wellington Phoenix","Hyundai A-League R17","HBF Park",9148,"18/19","2019-02-02","17"
"619","Central Coast Mariners","Melbourne Victory","Hyundai A-League R17","Central Coast Stadium",5223,"18/19","2019-02-02","17"
"620","Sydney FC","Melbourne City","Hyundai A-League R17","Netstrata Jubilee Stadium",13029,"18/19","2019-02-03","17"
"621","Newcastle Jets","Wellington Phoenix","Hyundai A-League R18","McDonald Jones Stadium",7394,"18/19","2019-02-07","18"
"622","Brisbane Roar","Sydney FC","Hyundai A-League R18","Suncorp Stadium",8356,"18/19","2019-02-08","18"
"623","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R18","Spotless Stadium",5364,"18/19","2019-02-09","18"
"624","Melbourne City","Adelaide United","Hyundai A-League R18","AAMI Park",6569,"18/19","2019-02-09","18"
"625","Melbourne Victory","Perth Glory","Hyundai A-League R18","AAMI Park",25071,"18/19","2019-02-10","18"
"626","Newcastle Jets","Melbourne City","Hyundai A-League R19","McDonald Jones Stadium",7980,"18/19","2019-02-15","19"
"627","Wellington Phoenix","Melbourne Victory","Hyundai A-League R19","Eden Park",23648,"18/19","2019-02-15","19"
"628","Adelaide United","Western Sydney Wanderers","Hyundai A-League R19","Coopers Stadium",8880,"18/19","2019-02-16","19"
"629","Perth Glory","Brisbane Roar","Hyundai A-League R19","HBF Park",10831,"18/19","2019-02-16","19"
"630","Sydney FC","Central Coast Mariners","Hyundai A-League R19","Leichhardt Oval",12188,"18/19","2019-02-17","19"
"631","Central Coast Mariners","Brisbane Roar","Hyundai A-League R20","Central Coast Stadium",4173,"18/19","2019-02-22","20"
"632","Newcastle Jets","Adelaide United","Hyundai A-League R20","McDonald Jones Stadium",8912,"18/19","2019-02-24","20"
"633","Melbourne Victory","Melbourne City","Hyundai A-League R20","Marvel Stadium",32431,"18/19","2019-02-23","20"
"634","Wellington Phoenix","Sydney FC","Hyundai A-League R20","Campbelltown Stadium",5115,"18/19","2019-02-23","20"
"635","Western Sydney Wanderers","Perth Glory","Hyundai A-League R20","Spotless Stadium",7181,"18/19","2019-02-24","20"
"636","Sydney FC","Adelaide United","Hyundai A-League R21","Leichhardt Oval",11217,"18/19","2019-03-01","21"
"637","Melbourne Victory","Newcastle Jets","Hyundai A-League R21","GMHBA Stadium",8039,"18/19","2019-03-02","21"
"638","Melbourne City","Perth Glory","Hyundai A-League R21","AAMI Park",7746,"18/19","2019-03-03","21"
"639","Brisbane Roar","Western Sydney Wanderers","Hyundai A-League R21","Suncorp Stadium",8130,"18/19","2019-03-08","21"
"640","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R21","Central Coast Stadium",3703,"18/19","2019-03-09","21"
"641","Melbourne Victory","Brisbane Roar","Hyundai A-League R22","Marvel Stadium",16357,"18/19","2019-03-16","22"
"642","Newcastle Jets","Central Coast Mariners","Hyundai A-League R22","McDonald Jones Stadium",8173,"18/19","2019-03-16","22"
"643","Sydney FC","Melbourne City","Hyundai A-League R22","Leichhardt Oval",6261,"18/19","2019-03-17","22"
"644","Wellington Phoenix","Western Sydney Wanderers","Hyundai A-League R22","Westpac Stadium",7685,"18/19","2019-03-17","22"
"645","Adelaide United","Perth Glory","Hyundai A-League R22","Coopers Stadium",7853,"18/19","2019-03-15","22"
"646","Brisbane Roar","Sydney FC","Hyundai A-League R23","Suncorp Stadium",8059,"18/19","2019-03-29","23"
"647","Wellington Phoenix","Newcastle Jets","Hyundai A-League R23","Westpac Stadium",9028,"18/19","2019-03-30","23"
"648","Western Sydney Wanderers","Melbourne City","Hyundai A-League R23","ANZ Stadium",7078,"18/19","2019-03-30","23"
"649","Central Coast Mariners","Adelaide United","Hyundai A-League R23","Central Coast Stadium",4683,"18/19","2019-03-31","23"
"650","Perth Glory","Melbourne Victory","Hyundai A-League R23","HBF Park",17856,"18/19","2019-03-30","23"
"651","Melbourne City","Brisbane Roar","Hyundai A-League R24","AAMI Park",5012,"18/19","2019-04-05","24"
"652","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R24","McDonald Jones Stadium",8756,"18/19","2019-04-06","24"
"653","Sydney FC","Melbourne Victory","Hyundai A-League R24","Sydney Cricket Ground",14155,"18/19","2019-04-06","24"
"654","Adelaide United","Wellington Phoenix","Hyundai A-League R24","Coopers Stadium",8343,"18/19","2019-04-07","24"
"655","Central Coast Mariners","Perth Glory","Hyundai A-League R24","Central Coast Stadium",3939,"18/19","2019-04-07","24"
"656","Brisbane Roar","Wellington Phoenix","Hyundai A-League R25","Suncorp Stadium",6084,"18/19","2019-04-12","25"
"657","Melbourne City","Adelaide United","Hyundai A-League R25","AAMI Park",7720,"18/19","2019-04-13","25"
"658","Western Sydney Wanderers","Sydney FC","Hyundai A-League R25","ANZ Stadium",21984,"18/19","2019-04-13","25"
"659","Melbourne Victory","Central Coast Mariners","Hyundai A-League R25","AAMI Park",16158,"18/19","2019-04-14","25"
"660","Perth Glory","Newcastle Jets","Hyundai A-League R25","HBF Park",11349,"18/19","2019-04-14","25"
"661","Sydney FC","Perth Glory","Hyundai A-League R26","Netstrata Jubilee Stadium",11227,"18/19","2019-04-18","26"
"662","Adelaide United","Melbourne Victory","Hyundai A-League R26","Coopers Stadium",12866,"18/19","2019-04-19","26"
"663","Brisbane Roar","Newcastle Jets","Hyundai A-League R26","Suncorp Stadium",7985,"18/19","2019-04-20","26"
"664","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R26","Central Coast Stadium",5059,"18/19","2019-04-20","26"
"665","Wellington Phoenix","Melbourne City","Hyundai A-League R26","Westpac Stadium",8294,"18/19","2019-04-21","26"
"666","Brisbane Roar","Adelaide United","Hyundai A-League R27","Suncorp Stadium",11790,"18/19","2019-04-25","27"
"667","Newcastle Jets","Sydney FC","Hyundai A-League R27","McDonald Jones Stadium",10260,"18/19","2019-04-27","27"
"668","Western Sydney Wanderers","Melbourne Victory","Hyundai A-League R27","ANZ Stadium",7919,"18/19","2019-04-27","27"
"669","Perth Glory","Wellington Phoenix","Hyundai A-League R27","HBF Park",9875,"18/19","2019-04-28","27"
